GAME_ID: 225
STARTED_AT:  2020/08/06 14:31:14 

p1: hasti
p1_hero: warlock
p1_deck: pppp

p2: hasti
p2_hero: warlock
p2_deck: pppp

p2:end_turn 2020/08/06 14:31:15 
p1:end_turn 2020/08/06 14:31:15 
p2:end_turn 2020/08/06 14:31:15 
p1:end_turn 2020/08/06 14:31:15 
p2:end_turn 2020/08/06 14:31:16 
p1:end_turn 2020/08/06 14:31:16 
p2:end_turn 2020/08/06 14:31:16 
p1:end_turn 2020/08/06 14:31:17 
p2:end_turn 2020/08/06 14:31:18 
p1:end_turn 2020/08/06 14:31:18 
p1:play_card 2020/08/06 14:31:20 Curio Collector
p2:end_turn 2020/08/06 14:31:26 
p1:end_turn 2020/08/06 14:31:27 
p2:end_turn 2020/08/06 14:32:13 
p1:end_turn 2020/08/06 14:32:14 
p2:end_turn 2020/08/06 14:32:15 
p1:end_turn 2020/08/06 14:32:16 
p2:end_turn 2020/08/06 14:32:17 
p1:end_turn 2020/08/06 14:32:18 
p2:end_turn 2020/08/06 14:32:19 
p1:end_turn 2020/08/06 14:32:20 
p2:end_turn 2020/08/06 14:32:21 
p1:end_turn 2020/08/06 14:32:22 
p2:end_turn 2020/08/06 14:32:23 
p1:end_turn 2020/08/06 14:32:24 
p2:end_turn 2020/08/06 14:32:25 
p1:end_turn 2020/08/06 14:32:26 
p2:end_turn 2020/08/06 14:32:27 
p1:end_turn 2020/08/06 14:32:28 
p2:end_turn 2020/08/06 14:32:29 
p1:end_turn 2020/08/06 14:32:30 
p2:end_turn 2020/08/06 14:32:31 
p1:end_turn 2020/08/06 14:32:32 
p2:end_turn 2020/08/06 14:32:33 
p1:end_turn 2020/08/06 14:32:34 
p2:end_turn 2020/08/06 14:32:35 
p1:end_turn 2020/08/06 14:32:36 
p2:end_turn 2020/08/06 14:32:37 
p1:end_turn 2020/08/06 14:32:38 
p2:end_turn 2020/08/06 14:32:39 
p1:end_turn 2020/08/06 14:32:40 
p2:end_turn 2020/08/06 14:32:41 
p1:end_turn 2020/08/06 14:32:42 
p2:end_turn 2020/08/06 14:32:43 
p1:end_turn 2020/08/06 14:32:44 
p2:end_turn 2020/08/06 14:32:45 
p1:end_turn 2020/08/06 14:32:46 
p2:end_turn 2020/08/06 14:32:47 
p1:end_turn 2020/08/06 14:32:48 
p2:end_turn 2020/08/06 14:32:49 
p1:end_turn 2020/08/06 14:32:50 
p2:end_turn 2020/08/06 14:32:51 
p1:end_turn 2020/08/06 14:32:52 
p2:end_turn 2020/08/06 14:32:53 
p1:end_turn 2020/08/06 14:32:54 
p2:end_turn 2020/08/06 14:32:55 
p1:end_turn 2020/08/06 14:32:56 
p2:end_turn 2020/08/06 14:32:57 
p1:end_turn 2020/08/06 14:32:58 
p2:end_turn 2020/08/06 14:32:59 
p1:end_turn 2020/08/06 14:33:00 
p2:end_turn 2020/08/06 14:33:01 
p1:end_turn 2020/08/06 14:33:02 
p2:end_turn 2020/08/06 14:33:03 
p1:end_turn 2020/08/06 14:33:04 
p2:end_turn 2020/08/06 14:33:05 
p1:end_turn 2020/08/06 14:33:06 
p2:end_turn 2020/08/06 14:33:07 
p1:end_turn 2020/08/06 14:33:08 
p2:end_turn 2020/08/06 14:33:09 
p1:end_turn 2020/08/06 14:33:10 
p2:end_turn 2020/08/06 14:33:11 
p1:end_turn 2020/08/06 14:33:12 
p2:end_turn 2020/08/06 14:33:13 
p1:end_turn 2020/08/06 14:33:14 
p2:end_turn 2020/08/06 14:33:15 
p1:end_turn 2020/08/06 14:33:16 
p2:end_turn 2020/08/06 14:33:17 
p1:end_turn 2020/08/06 14:33:18 
p2:end_turn 2020/08/06 14:33:19 
p1:end_turn 2020/08/06 14:33:20 
p2:end_turn 2020/08/06 14:33:21 
p1:end_turn 2020/08/06 14:33:22 
p2:end_turn 2020/08/06 14:33:23 
p1:end_turn 2020/08/06 14:33:24 
p2:end_turn 2020/08/06 14:33:25 
p1:end_turn 2020/08/06 14:33:26 
p2:end_turn 2020/08/06 14:33:27 
p1:end_turn 2020/08/06 14:33:28 
p2:end_turn 2020/08/06 14:33:29 
p1:end_turn 2020/08/06 14:33:30 
p2:end_turn 2020/08/06 14:33:31 
p1:end_turn 2020/08/06 14:33:32 
p2:end_turn 2020/08/06 14:33:33 
p1:end_turn 2020/08/06 14:33:34 
p2:end_turn 2020/08/06 14:33:35 
p1:end_turn 2020/08/06 14:33:36 
p2:end_turn 2020/08/06 14:33:37 
p1:end_turn 2020/08/06 14:33:38 
p2:end_turn 2020/08/06 14:33:39 
p1:end_turn 2020/08/06 14:33:40 
p2:end_turn 2020/08/06 14:33:41 
p1:end_turn 2020/08/06 14:33:42 
p2:end_turn 2020/08/06 14:33:43 
p1:end_turn 2020/08/06 14:33:44 
p2:end_turn 2020/08/06 14:33:45 
p1:end_turn 2020/08/06 14:33:46 
p2:end_turn 2020/08/06 14:33:47 
p1:end_turn 2020/08/06 14:33:48 
p2:end_turn 2020/08/06 14:33:49 
p1:end_turn 2020/08/06 14:33:50 
p2:end_turn 2020/08/06 14:33:51 
p1:end_turn 2020/08/06 14:33:52 
p2:end_turn 2020/08/06 14:33:53 
p1:end_turn 2020/08/06 14:33:54 
p2:end_turn 2020/08/06 14:33:55 
p1:end_turn 2020/08/06 14:33:56 
